compound_id,status,pdbqt_size,note
DEC_2729,skipped,0,
DEC_3656,skipped,0,
DEC_2805,skipped,0,
DEC_1820,filtered,0,thiaz_ene_A(128)
DEC_3166,skipped,0,
DEC_1703,filtered,0,Aliphatic_long_chain
DEC_0803,skipped,0,
DEC_2667,skipped,0,
DEC_1400,skipped,0,
DEC_1774,filtered,0,Three-membered_heterocycle
DEC_3815,skipped,0,
DEC_3853,skipped,0,
DEC_3361,skipped,0,
DEC_0585,skipped,0,
ACT_053,skipped,0,
DEC_1927,filtered,0,2-halo_pyridine
DEC_3894,skipped,0,
DEC_3556,skipped,0,
DEC_0323,skipped,0,
DEC_0167,skipped,0,
DEC_2498,skipped,0,
DEC_0543,skipped,0,
DEC_4609,skipped,0,
DEC_3060,skipped,0,
DEC_1676,filtered,0,aniline
DEC_3613,skipped,0,
DEC_4682,skipped,0,
DEC_3203,filtered,0,phthalimide
DEC_3588,skipped,0,
DEC_2031,filtered,0,Aliphatic_long_chain
DEC_2296,skipped,0,
DEC_0830,skipped,0,
DEC_0792,skipped,0,
DEC_0265,skipped,0,
DEC_2967,filtered,0,Aliphatic_long_chain
DEC_0601,skipped,0,
DEC_0212,skipped,0,
DEC_1375,skipped,0,
DEC_3375,filtered,0,Michael_acceptor_1
DEC_2341,filtered,0,amino_acridine_A(46)
DEC_1029,skipped,0,
DEC_3828,skipped,0,
ACT_089,skipped,0,
DEC_1160,skipped,0,
DEC_2712,skipped,0,
DEC_2574,skipped,0,
DEC_3924,skipped,0,
DEC_3317,skipped,0,
DEC_1124,skipped,0,
DEC_3854,skipped,0,
DEC_3376,filtered,0,imine_1
DEC_1779,filtered,0,mannich_A(296)
DEC_1769,filtered,0,alkyl_halide
DEC_4014,skipped,0,
DEC_4484,skipped,0,
DEC_1192,skipped,0,
DEC_4331,skipped,0,
DEC_1269,skipped,0,
DEC_2093,filtered,0,indol_3yl_alk(461)
DEC_3802,skipped,0,
DEC_1480,skipped,0,
DEC_2490,skipped,0,
DEC_1426,skipped,0,
DEC_2891,skipped,0,
DEC_1435,skipped,0,
DEC_0584,skipped,0,
DEC_2961,filtered,0,Aliphatic_long_chain
DEC_2258,filtered,0,iodine
DEC_4600,skipped,0,
DEC_4103,skipped,0,
DEC_3418,filtered,0,azo_A(324)
DEC_4615,skipped,0,
DEC_1992,skipped,0,
DEC_0959,skipped,0,
