compound_id,matched_to,chembl_id,smiles,MW,LogP,HBD,HBA,RotBonds,TPSA,NumHeavyAtoms,NetCharge,max_tc_to_actives
DEC_2958,ACT_063,CHEMBL15171,CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OCC)CC1,431.50800000000027,3.3983000000000025,2,5,8,83.8,31,0,0.19811320754716982
DEC_2959,ACT_063,CHEMBL7396,CCCCc1nc2cnnc(O)c2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,402.4540000000001,4.288000000000003,2,5,7,101.13000000000001,30,0,0.20212765957446807
DEC_2960,ACT_063,CHEMBL17068,Cc1ccccc1N(CC(=O)O)C(=O)C1=C(C(=O)NCc2ccc(C(=N)N)cc2)CCC1,434.4960000000002,2.49359,4,4,8,136.58,32,0,0.20481927710843373
DEC_2961,ACT_063,CHEMBL23252,O=S(=O)(Nc1cccc(OCCNc2ccncc2)c1)c1ccc(Cl)cc1,403.8910000000001,4.026700000000003,2,5,8,80.32000000000001,27,0,0.20689655172413793
DEC_2962,ACT_063,CHEMBL274021,CCN(C(=O)C1=C(C(=O)NCc2ccc(C(=N)N)cc2)CCC1)c1cc(Cl)ccc1C,438.9590000000002,4.082290000000003,3,3,7,99.28,31,0,0.20689655172413793
DEC_2963,ACT_063,CHEMBL652,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,414.34600000000006,3.4407000000000014,2,4,7,59.59,28,0,0.2087912087912088
DEC_2964,ACT_063,CHEMBL24508,CC(=N)N1CCC(Oc2ccc(NC/C=C/c3cccc(C(=N)N)c3)cc2F)CC1,409.5090000000002,4.075440000000002,4,4,7,98.22000000000001,30,0,0.2087912087912088
DEC_2965,ACT_063,CHEMBL36398,O=C(NCCCOc1ccc2nc(O)ccc2c1)N(C1CCCCC1)[C@H]1CCCC[C@@H]1O,441.5720000000004,4.357100000000004,3,5,7,94.92,32,0,0.2087912087912088
DEC_2966,ACT_063,CHEMBL30971,CCC(C)C(N)C(=O)N1CCN(CCNc2ccnc3cc(Cl)ccc23)CC1,403.95800000000014,2.817700000000001,2,5,7,74.49000000000001,28,0,0.20930232558139536
DEC_2967,ACT_063,CHEMBL432471,O=C(NCCCOc1ccc2nc(O)ccc2c1)N(C1CC1)[C@H]1CC[C@H](O)CC1,399.49100000000027,3.1868000000000016,3,5,7,94.92,29,0,0.20930232558139536
DEC_2968,ACT_063,CHEMBL277635,N[C@H](C(=O)N1CCC(F)(F)C1)[C@H]1CC[C@H](NC(=O)c2ccccc2C(F)(F)F)CC1,433.4210000000001,3.188900000000001,2,3,4,75.43,30,0,0.20930232558139536
DEC_2969,ACT_063,CHEMBL15615,Cc1cccc(C)c1NC(=O)C(C)NCCCNC(=O)C1=CC(C)(C)NC1(C)C,400.5670000000002,2.8131400000000006,4,4,8,82.26,29,0,0.20987654320987653
DEC_2970,ACT_063,CHEMBL265586,CCN(C(=O)C1=C(C(=O)NCc2ccc(C(=N)N)cc2)CCC1)c1ccccc1C,404.5140000000002,3.4288900000000027,3,3,7,99.28,30,0,0.20987654320987653
DEC_2971,ACT_063,CHEMBL27141,N[C@@H](CS)CN1CCN(C(=O)c2cccc3ccccc23)C[C@@H]1CCOC1CC1,413.5870000000003,2.7924000000000007,2,5,8,58.8,29,0,0.21052631578947367
DEC_2972,ACT_063,CHEMBL29977,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@@H](C(=O)NO)C1CCC(C)CC1)C(C)(C)C,411.5870000000003,2.8735,4,4,8,107.53000000000002,29,0,0.21052631578947367
DEC_2973,ACT_063,CHEMBL278697,Cc1cccc(C)c1NC(=O)C(NC(=O)C1=CC(C)(C)NC1(C)C)c1ccccc1,405.54200000000014,4.186240000000003,3,3,5,70.23,30,0,0.2111111111111111
DEC_2974,ACT_063,CHEMBL17224,CS(=O)(=O)NCc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,422.4850000000001,3.9940000000000024,2,4,6,87.74000000000001,30,0,0.2111111111111111
DEC_2975,ACT_063,CHEMBL32617,O=C(NCCCOc1ccc2nc(O)ccc2c1)N(C1CC1)[C@H]1CCCC[C@H]1O,399.49100000000027,3.186800000000002,3,5,7,94.92,29,0,0.2111111111111111
DEC_2976,ACT_063,CHEMBL286826,O=C(NCCCOc1ccc2nc(O)ccc2c1)N(C1CC1)[C@H]1CCCC[C@@H]1O,399.49100000000027,3.186800000000002,3,5,7,94.92,29,0,0.2111111111111111
DEC_2977,ACT_063,CHEMBL17493,CS(=O)(=O)Nc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,408.4580000000001,4.316300000000002,2,4,5,87.74000000000001,29,0,0.2112676056338028
DEC_2978,ACT_063,CHEMBL267168,CC(C)(C)c1ccc(S(=O)(=O)N[C@H]2CCN(Cc3cc4c[nH]ccc-4n3)C2=O)cc1,426.5420000000001,2.891400000000001,2,4,5,95.16,30,0,0.21153846153846154
DEC_2979,ACT_063,CHEMBL8363,CC(C)(C)c1ccc(S(=O)(=O)N[C@H]2CCN(Cc3cc4cc[nH]cc-4n3)C2=O)cc1,426.5420000000001,2.891400000000001,2,4,5,95.16,30,0,0.21153846153846154
DEC_2980,ACT_063,CHEMBL265663,CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CC(F)(F)F)c3c2F)C1,433.37700000000007,2.976000000000001,2,4,6,74.57,30,0,0.21153846153846154
DEC_2981,ACT_063,CHEMBL17712,CCN(C(=O)C1CCC=C1C(=O)NCc1ccc(C(=N)N)cc1)c1ccccc1F,408.4770000000001,3.11547,3,3,7,99.28,30,0,0.21176470588235294
DEC_2982,ACT_063,CHEMBL6829,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)NCc2ccccc2)cc1,436.5150000000001,4.213620000000003,2,5,7,78.35,33,0,0.21176470588235294
DEC_2983,ACT_063,CHEMBL17358,O=C(O)c1ccc(S(=O)(=O)Nc2cccc(OCc3ccc4ccccc4n3)c2)cc1,434.4730000000001,4.312800000000003,2,5,7,105.59,31,0,0.21176470588235294
DEC_2984,ACT_063,CHEMBL19316,O=C1NC(=O)C(c2cc(Cl)ccc2S(=O)(=O)CCc2ccc(Cl)cc2)N1,413.28200000000015,2.8903000000000008,2,4,5,92.34,26,0,0.21212121212121213
DEC_2985,ACT_063,CHEMBL267628,CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CCCCC4)c3c2F)C1,433.49900000000025,3.9189000000000025,2,4,6,74.57,31,0,0.21212121212121213
DEC_2986,ACT_063,CHEMBL31958,CNCCN(C)/C(S)=N/c1c(Cl)cccc1Cl.O=C(O)/C=C\C(=O)O,408.30700000000013,2.7737,4,4,6,102.23,25,0,0.2125
DEC_2987,ACT_063,CHEMBL12490,C=CCNC(=O)C1C2C(=O)CC(c3ccc(O)cc32)C1C(=O)OCC[Si](C)(C)C,415.56200000000024,2.961800000000001,2,5,7,92.7,29,0,0.2127659574468085
DEC_2988,ACT_063,CHEMBL22186,CCCc1cc(C(N)=O)cc(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,414.46900000000005,2.7951000000000006,2,5,7,119.55,31,0,0.2127659574468085
DEC_2989,ACT_063,CHEMBL417839,Cc1ccc(C(=O)Nc2cc(CN3CCCC3)c(O)c(CN3CCCC3)c2)s1,399.5600000000002,4.206020000000004,2,5,6,55.81000000000001,28,0,0.21333333333333335
DEC_2990,ACT_063,CHEMBL23045,CCCCc1cc(O)cc(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,401.47,3.791900000000002,2,5,7,96.68999999999998,30,0,0.21348314606741572
DEC_2991,ACT_063,CHEMBL279077,CC(=N)N1CC[C@H](Oc2ccc(C(Cc3cc4cc(C(=N)N)ccc4o3)C(=O)O)cc2)C1,434.49600000000015,3.5780400000000014,4,5,7,136.63,32,0,0.21359223300970873
DEC_2992,ACT_063,CHEMBL6265,CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CCCC4)c3c2F)C1,419.4720000000002,3.528800000000002,2,4,6,74.57,30,0,0.21428571428571427
DEC_2993,ACT_063,CHEMBL6225,CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CC4CC4)c3c2F)C1,405.44500000000016,2.8237000000000014,2,4,7,74.57,29,0,0.21428571428571427
DEC_2994,ACT_063,CHEMBL6262,CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CCC4)c3c2F)C1,405.44500000000016,3.138700000000002,2,4,6,74.57,29,0,0.21428571428571427
DEC_2995,ACT_063,CHEMBL13983,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCC1CCN(C)CC1,410.4930000000002,3.3349400000000022,3,3,4,77.22999999999999,30,0,0.21428571428571427
DEC_2996,ACT_063,CHEMBL17786,CCN(C(=O)C1CCC=C1C(=O)NCc1ccc(C(=N)N)cc1)c1ccccc1C,404.5140000000001,3.284790000000001,3,3,7,99.28,30,0,0.21428571428571427
DEC_2997,ACT_063,CHEMBL417277,O=C(O)CCC(=O)Nc1cccc2c1CC(O)C(N1CCC(c3ccccc3)CC1)C2,422.52500000000026,3.197600000000002,3,4,6,89.86999999999999,31,0,0.21428571428571427
DEC_2998,ACT_063,CHEMBL21713,CCCCc1nn(C)c(C(=O)O)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,416.48500000000007,3.8988000000000023,2,5,8,109.58,31,0,0.21428571428571427
DEC_2999,ACT_063,CHEMBL282631,O=C(Cc1cccs1)Nc1cc(CN2CCCC2)c(O)c(CN2CCCC2)c1,399.56000000000023,3.826500000000003,2,5,7,55.81000000000001,28,0,0.21428571428571427
DEC_3000,ACT_064,CHEMBL451551,CC12CCC(OC=O)CC1CCC1C2CCC2(C)[C@@H](C3=CC(=O)OC3)C(OC=O)CC12O,446.5400000000002,2.936500000000002,1,7,5,99.13000000000001,32,0,0.14285714285714285
DEC_3001,ACT_064,CHEMBL414201,CC(=O)OC1CC2(O)C3CCC4CC(OC=O)CCC4(C)C3CCC2(C)[C@H]1C1=CC(=O)OC1,460.5670000000003,3.3266000000000018,1,7,4,99.13000000000001,33,0,0.14772727272727273
DEC_3002,ACT_064,CHEMBL13707,CCOC(=O)c1cc2c(CC)c3c(nc2cn1)-c1cc2c(c(=O)n1C3)COC(=O)[C@]2(O)CC,449.4630000000003,2.2137000000000002,1,8,4,120.61000000000003,33,0,0.1574074074074074
DEC_3003,ACT_064,CHEMBL276477,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CNC4CCCCC4)c(O)ccc3nc2-1,475.54500000000036,3.2075000000000022,3,7,4,113.68,35,0,0.1595744680851064
DEC_3004,ACT_064,CHEMBL8495,CCCn1c(=O)[nH]c2[nH]c(-c3ccc(S(=O)(=O)Oc4cccc([N+](=O)[O-])c4)cc3)nc2c1=O,471.4510000000002,2.1658,2,8,7,170.05,33,0,0.16666666666666666
DEC_3005,ACT_064,CHEMBL8732,CCCn1c(=O)[nH]c2[nH]c(-c3ccc(S(=O)(=O)Oc4ccc([N+](=O)[O-])cc4)cc3)nc2c1=O,471.4510000000002,2.1658,2,8,7,170.05,33,0,0.16666666666666666
DEC_3006,ACT_064,CHEMBL13240,Cn1c(=O)c2c(nc3n(Cc4ccccc4)c(O)c(CC=C4CCCCC4)c(=O)n23)n(C)c1=O,461.52200000000045,2.2335000000000003,1,5,4,103.53,34,0,0.16853932584269662
